signal_id,timestamp,symbol,direction,setup_type,entry,stop_loss,take_profit,result_r,public_published,meta_decision,trade_quality_grade,edge_confirmation_level,adaptive_threshold,market_regime,session,entry_context,trade_location,warnings,penalties,would_meta_filter_block,would_kill_switch_block,audit_recommendation
sig_54a9f292265d,2026-05-24T18:49:01.212111+00:00,BTCUSDT,long,MAIN_SIGNAL,267.95,266.468571,281.9,-1.0,True,UNKNOWN,UNKNOWN,UNKNOWN,,HIGH_VOLATILITY,OVERLAP,PULLBACK,near_resistance,high_spread,,False,False,review_warning:high_spread
sig_ff3438dfcfd9,2026-05-24T18:48:40.081609+00:00,BTCUSDT,long,MAIN_SIGNAL,267.95,266.468571,281.9,-1.0,True,UNKNOWN,UNKNOWN,UNKNOWN,,HIGH_VOLATILITY,OVERLAP,PULLBACK,near_resistance,high_spread,,False,False,review_warning:high_spread
sig_4eccce2c8ce8,2026-05-24T18:26:27.147554+00:00,BTCUSDT,long,MAIN_SIGNAL,267.95,266.468571,281.9,-1.0,True,UNKNOWN,UNKNOWN,UNKNOWN,,HIGH_VOLATILITY,OVERLAP,PULLBACK,near_resistance,high_spread,,False,False,review_warning:high_spread
sig_f9640f33f3fc,2026-05-24T18:25:27.327984+00:00,BTCUSDT,long,MAIN_SIGNAL,267.95,266.468571,281.9,-1.0,True,UNKNOWN,UNKNOWN,UNKNOWN,,HIGH_VOLATILITY,OVERLAP,PULLBACK,near_resistance,high_spread,,False,False,review_warning:high_spread
sig_12d50df301da,2026-05-24T18:18:24.486248+00:00,BTCUSDT,long,MAIN_SIGNAL,267.95,266.468571,281.9,-1.0,True,UNKNOWN,UNKNOWN,UNKNOWN,,HIGH_VOLATILITY,OVERLAP,PULLBACK,near_resistance,high_spread,,False,False,review_warning:high_spread
sig_849e35d9ee1e,2026-05-21T17:17:12.720855+00:00,BTCUSDT,long,MAIN_SIGNAL,267.95,266.468571,281.9,-1.0,True,UNKNOWN,UNKNOWN,UNKNOWN,,HIGH_VOLATILITY,OVERLAP,PULLBACK,near_resistance,high_spread,,False,False,review_warning:high_spread
sig_bc30a6c8a6ea,2026-05-21T07:02:29.527807+00:00,BTCUSDT,long,MAIN_SIGNAL,267.95,266.468571,281.9,-1.0,True,UNKNOWN,UNKNOWN,UNKNOWN,,HIGH_VOLATILITY,OVERLAP,PULLBACK,near_resistance,high_spread,,False,False,review_warning:high_spread
sig_f6ae556cae4d,2026-05-21T06:56:14.321182+00:00,BTCUSDT,long,MAIN_SIGNAL,267.95,266.468571,281.9,-1.0,True,UNKNOWN,UNKNOWN,UNKNOWN,,HIGH_VOLATILITY,OVERLAP,PULLBACK,near_resistance,high_spread,,False,False,review_warning:high_spread
sig_505089cfc123,2026-05-21T06:49:26.452365+00:00,BTCUSDT,long,MAIN_SIGNAL,267.95,266.468571,281.9,-1.0,True,UNKNOWN,UNKNOWN,UNKNOWN,,HIGH_VOLATILITY,OVERLAP,PULLBACK,near_resistance,high_spread,,False,False,review_warning:high_spread
sig_376c054e79a9,2026-05-18T12:19:10.044919+00:00,BTCUSDT,long,MAIN_SIGNAL,267.95,266.468571,281.9,-1.0,True,UNKNOWN,UNKNOWN,UNKNOWN,,HIGH_VOLATILITY,OVERLAP,PULLBACK,near_resistance,high_spread,,False,False,review_warning:high_spread
sig_0b871f738554,2026-05-18T11:55:36.397696+00:00,BTCUSDT,long,MAIN_SIGNAL,267.95,266.468571,281.9,-1.0,True,UNKNOWN,UNKNOWN,UNKNOWN,,HIGH_VOLATILITY,OVERLAP,PULLBACK,near_resistance,high_spread,,False,False,review_warning:high_spread
sig_61419fc71e0a,2026-05-18T11:51:36.863401+00:00,BTCUSDT,long,MAIN_SIGNAL,267.95,266.468571,281.9,-1.0,True,UNKNOWN,UNKNOWN,UNKNOWN,,HIGH_VOLATILITY,OVERLAP,PULLBACK,near_resistance,high_spread,,False,False,review_warning:high_spread
sig_70d343691dbf,2026-05-18T11:47:00.664257+00:00,BTCUSDT,long,MAIN_SIGNAL,267.95,266.468571,281.9,-1.0,True,UNKNOWN,UNKNOWN,UNKNOWN,,HIGH_VOLATILITY,OVERLAP,PULLBACK,near_resistance,high_spread,,False,False,review_warning:high_spread
sig_5f7a61933413,2026-05-18T11:46:44.615379+00:00,BTCUSDT,long,MAIN_SIGNAL,267.95,266.468571,281.9,-1.0,True,UNKNOWN,UNKNOWN,UNKNOWN,,HIGH_VOLATILITY,OVERLAP,PULLBACK,near_resistance,high_spread,,False,False,review_warning:high_spread
sig_33657c6ec74c,2026-05-15T09:19:25.018331+00:00,BTCUSDT,long,MAIN_SIGNAL,267.95,266.468571,281.9,-1.0,True,UNKNOWN,UNKNOWN,UNKNOWN,,HIGH_VOLATILITY,OVERLAP,PULLBACK,near_resistance,high_spread,,False,False,review_warning:high_spread
sig_5d7d56755d4c,2026-05-13T10:45:40.009466+00:00,BTCUSDT,long,MAIN_SIGNAL,267.95,266.468571,281.9,-1.0,True,UNKNOWN,UNKNOWN,UNKNOWN,,HIGH_VOLATILITY,OVERLAP,PULLBACK,near_resistance,high_spread,,False,False,review_warning:high_spread
